Make,Price,Body Style,Mileage,MPG,Services
Chevrolet,"Price: $21,900",Sedan ,"8,742 miles ",33,3
Honda,"Price: $21,900",Sedan ,"21,198 miles ",35,9
Nissan,"Price: $20,000",Sedan ,"60,388 miles ",26,1
Nissan,"Price: $19,778",Sedan ,"60,522 miles ",26,8
Hyundai,"Price: $13,555",Sedan ,"68,303 miles ",34,6
Toyota,"Price: $18,995",Sedan ,"96,559 miles ",27,32
Nissan,"Price: $21,533",Sedan ,"45,263 miles ",26,3
Honda,"Price: $6,995",Sedan ,"85,816 miles ",31,18
Nissan,"Price: $20,288",Sedan ,"1,695 miles ",38,2
Kia,"Price: $30,000",Sedan ,"8,779 miles ",31,2
Nissan,"Price: $18,735",Sedan ,"100,250 miles ",26,3
Hyundai,"Price: $15,000",Sedan ,"48,146 miles ",36,4
Kia,"Price: $18,499",Sedan ,"61,131 miles ",33,2
Kia,"Price: $32,444",Sedan ,"17,113 miles ",30,4
Dodge,"Price: $12,500",Sedan ,"89,636 miles ",24,30
Kia,"Price: $28,890",Sedan ,"15,745 miles ",33,3
Kia,"Price: $13,844",Sedan ,"59,244 miles ",35,14
Nissan,"Price: $16,816",Sedan ,"32,454 miles ",33,13
BMW,"Price: $64,364",Sedan ,"11,819 miles ",32,5
Hyundai,"Price: $10,529",Sedan ,"109,372 miles ",31,3
Toyota,"Price: $23,897",Sedan ,"24,500 miles ",37,4
Nissan,"Price: $8,318",Sedan ,"105,912 miles ",35,1
Audi,"Price: $27,958",Sedan ,"50,712 miles ",29,8
Nissan,"Price: $20,750",Sedan ,"9,428 miles ",33,3
